cycle,send_rate,sent,service_rate,serviced,sender_outstanding,noc_outstanding,receiver_queue,arrival_noc,arrival_receiver,response_noc,response_sender,raw_throttle,delayed_throttle,queue_over_capacity
121,2.9554714638600785,2.9554714638600785,3.0,2.9591683568928624,130.2227653468674,65.1122781922337,0.0,2.9558474954761405,2.9591683568928624,2.966876451024321,2.9591329239887556,False,False,False
122,2.9555446930626523,2.9555446930626523,3.0,2.9587102254446114,130.21835977442106,65.10204107204834,0.0,2.955709801818468,2.9587102254446114,2.965946922003835,2.9599502655089807,False,False,False
123,2.9556328045115787,2.9556328045115787,3.0,2.9582867519115337,130.21324131873382,65.09256852539349,0.0,2.955595276908913,2.9582867519115337,2.9650678235637575,2.960751260198801,False,False,False
124,2.9557351736253237,2.9557351736253237,3.0,2.957896733229601,130.2074402573643,65.08383406417602,0.0,2.955503049075012,2.957896733229601,2.9642375102924827,2.9615362349948247,False,False,False
125,2.955851194852714,2.955851194852714,3.0,2.957539000594181,130.2009859419221,65.07581195399709,0.0,2.9554322722437036,2.957539000594181,2.9634543824226323,2.962305510294928,False,False,False
126,2.955980281161558,2.955980281161558,3.0,2.9572124185708857,130.19390682299462,65.06847719459964,0.0,2.9553821252660173,2.9572124185708857,2.9627168846634593,2.9630594000890293,False,False,False
127,2.9561218635401074,2.9561218635401074,3.0,2.9569158842282843,130.18623047444748,65.0618055007965,0.0,2.9553518112585415,2.9569158842282843,2.962023505061685,2.963798212087249,False,False,False
128,2.9562753905110504,2.9562753905110504,3.0,2.9566483262919587,130.17798361711303,65.05577328386764,0.0,2.955340556961258,2.9566483262919587,2.9613727738901154,2.9645222478455038,False,False,False
129,2.9564403276577393,2.9564403276577393,3.0,2.956408704319395,130.16919214188218,65.05035763341562,0.0,2.955347612111362,2.956408704319395,2.9607632625633844,2.9652318028885936,False,False,False
130,2.9566161571623564,2.9566161571623564,3.0,2.9561960078952176,130.1598811322137,65.04553629966813,0.0,2.9553722488326786,2.9561960078952176,2.9601935825801666,2.965927166830822,False,False,False
131,2.956802377355726,2.956802377355726,3.0,2.956009255846279,130.15007488607523,65.04128767621717,0.0,2.955413761040297,2.956009255846279,2.9596623844912524,2.9666086234942055,False,False,False
132,2.9569985022784953,2.9569985022784953,3.0,2.9558474954761405,130.14019693732942,65.03759078318438,0.0,2.9554714638600785,2.9558474954761405,2.9591683568928624,2.966876451024321,False,False,False
133,2.9571960612534114,2.9571960612534114,3.0,2.955709801818468,130.13144607657898,65.03442525080243,0.0,2.9555446930626523,2.955709801818468,2.9587102254446114,2.965946922003835,False,False,False
134,2.9573710784684204,2.9573710784684204,3.0,2.955595276908913,130.12374933148362,65.03177130340248,0.0,2.9556328045115787,2.955595276908913,2.9582867519115337,2.9650678235637575,False,False,False
135,2.9575250133703275,2.9575250133703275,3.0,2.955503049075012,130.11703683456145,65.0296097437982,0.0,2.9557351736253237,2.955503049075012,2.957896733229601,2.9642375102924827,False,False,False
136,2.9576592633087713,2.9576592633087713,3.0,2.9554322722437036,130.1112417154476,65.02792193805674,0.0,2.955851194852714,2.9554322722437036,2.957539000594181,2.9634543824226323,False,False,False
137,2.9577751656910483,2.9577751656910483,3.0,2.9553821252660173,130.1062999964752,65.0266898006474,0.0,2.955980281161558,2.9553821252660173,2.9572124185708857,2.9627168846634593,False,False,False
138,2.957874000070496,2.957874000070496,3.0,2.9553518112585415,130.102150491484,65.02589577995923,0.0,2.9561218635401074,2.9553518112585415,2.9569158842282843,2.962023505061685,False,False,False
139,2.95795699017032,2.95795699017032,3.0,2.955340556961258,130.0987347077642,65.02552284417833,0.0,2.9562753905110504,2.955340556961258,2.9566483262919587,2.9613727738901154,False,False,False
140,2.958025305844716,2.958025305844716,3.0,2.955347612111362,130.09599675104556,65.02555446751667,0.0,2.9564403276577393,2.955347612111362,2.956408704319395,2.9607632625633844,False,False,False
141,2.9580800649790886,2.9580800649790886,3.0,2.9553722488326786,130.0938832334445,65.02597461678381,0.0,2.9566161571623564,2.9553722488326786,2.9561960078952176,2.9601935825801666,False,False,False
142,2.95812233533111,2.95812233533111,3.0,2.955413761040297,130.09234318428435,65.02676773829326,0.0,2.956802377355726,2.955413761040297,2.956009255846279,2.9596623844912524,False,False,False
143,2.958153136314313,2.958153136314313,3.0,2.9554714638600785,130.0913279637058,65.02791874509562,0.0,2.9569985022784953,2.9554714638600785,2.9558474954761405,2.9591683568928624,False,False,False
144,2.958173440725884,2.958173440725884,3.0,2.9555446930626523,130.09079117898708,65.02940500453056,0.0,2.9571960612534114,2.9555446930626523,2.955709801818468,2.9587102254446114,False,False,False
145,2.9581841764202585,2.9581841764202585,3.0,2.9556328045115787,130.09068860349578,65.03118080609008,0.0,2.9573710784684204,2.9556328045115787,2.955595276908913,2.9582867519115337,False,False,False
146,2.9581862279300846,2.9581862279300846,3.0,2.9557351736253237,130.09097809819625,65.0332027703854,0.0,2.9575250133703275,2.9557351736253237,2.955503049075012,2.957896733229601,False,False,False
147,2.958180438036075,2.958180438036075,3.0,2.955851194852714,130.09161953563813,65.03542976145047,0.0,2.9576592633087713,2.955851194852714,2.9554322722437036,2.957539000594181,False,False,False
148,2.9581676092872375,2.9581676092872375,3.0,2.955980281161558,130.09257472635448,65.0378228018755,0.0,2.9577751656910483,2.955980281161558,2.9553821252660173,2.9572124185708857,False,False,False
149,2.95814850547291,2.95814850547291,3.0,2.9561218635401074,130.0938073475991,65.04034499068746,0.0,2.957874000070496,2.9561218635401074,2.9553518112585415,2.9569158842282843,False,False,False
150,2.958123853048018,2.958123853048018,3.0,2.9562753905110504,130.09528287435515,65.04296142389651,0.0,2.95795699017032,2.9562753905110504,2.955340556961258,2.9566483262919587,False,False,False
151,2.958094342512897,2.958094342512897,3.0,2.9564403276577393,130.09696851254867,65.04563911762986,0.0,2.958025305844716,2.9564403276577393,2.955347612111362,2.956408704319395,False,False,False
152,2.9580606297490264,2.9580606297490264,3.0,2.9566161571623564,130.09883313440247,65.04834693377627,0.0,2.9580800649790886,2.9566161571623564,2.9553722488326786,2.9561960078952176,False,False,False
153,2.9580233373119507,2.9580233373119507,3.0,2.956802377355726,130.10084721586813,65.0510555080671,0.0,2.95812233533111,2.956802377355726,2.955413761040297,2.956009255846279,False,False,False
154,2.9579830556826376,2.9579830556826376,3.0,2.9569985022784953,130.1029827760746,65.05373718052132,0.0,2.958153136314313,2.9569985022784953,2.9554714638600785,2.9558474954761405,False,False,False
155,2.9579403444785077,2.9579403444785077,3.0,2.9571960612534114,130.10521331873466,65.05636592818456,0.0,2.958173440725884,2.9571960612534114,2.9555446930626523,2.955709801818468,False,False,False
156,2.957895733625307,2.957895733625307,3.0,2.9573710784684204,130.10751377545103,65.05891730009324,0.0,2.9581841764202585,2.9573710784684204,2.9556328045115787,2.955595276908913,False,False,False
